Správa CHKO Jizerské Hory,50.764704,15.052984
Graffiti U Viaduktu,50.76619,15.044208
Sloup Brány Husitská,50.75754,15.035365
Rabten Klidový Park,50.755145,15.027828
Holubi Dum 1911,50.779562,15.072686
Městský Stadion,50.75376,15.047513
Vratislavice - cukrárna Kafíčko,50.740829,15.095887
Venkovní posilovna Horská,50.765355,15.064922
Graffiti,50.766262,15.065674
Graffiti Wall,50.765176,15.064197
Graffiti Wall Oblacna II,50.765003,15.064724
Liberec - Historicka Budova 1896,50.765728,15.062387
Liberec historická budova 1912,50.765797,15.061249
Jednota Bratrská,50.765805,15.064002
Božena Němcová,50.766124,15.062191
Dětské Hřiště,50.765435,15.064503
Graffiti Oblacno,50.765282,15.063656
Textilana Liberec,50.764925,15.067832
Koupaliště Vápenka,50.755241,15.039701
Rozcestník Křižíkova,50.75571,15.036899
Sídliště Gagarinova - Dětský Park,50.7505,15.040264
INRI - U Křížku,50.752437,15.039408
Dite S Husou,50.753682,15.038716
Kostel Svatého Jana Nepomuckého,50.754504,15.029202
Krizek na Kubelikove Tride,50.755739,15.029105
Nádraží Horní Růžodol,50.753342,15.03255
Viadukt Horní Růžodol,50.753158,15.038135
Wooden World,50.751999,15.045441
Myší Díra,50.75405,15.051351
Sport Park Liberec,50.753046,15.051056
Elita národa,50.754673,15.052473
Graffiti Poseidon,50.758805,15.04511
Staré Pekárny,50.75749,15.042983
Velvyslanectvi Litvy,50.760812,15.051518
Letadlo,50.760116,15.052949
Socha Vodnář,50.759425,15.038239
Letní terasa U Vodníka,50.756484,15.041766
Palác Koruna,50.767249,15.057898
Zena S Vetvi,50.767461,15.062308
Steak House,50.764913,15.056158
Básník Radnóti,50.767761,15.065287
Baťa World Art,50.767019,15.056593
Hospic Svate Zdislavy,50.763774,15.057068
Hanibal - Horolezecka Arena,50.763507,15.062026
Lbc Graffiti Pneu,50.763854,15.063706
Létající Těla,50.765643,15.056054
Historická budova 1886,50.767118,15.060175
modernizace tramvajové tratě,50.764835,15.05891
Plzeňka,50.768626,15.058163
Římskokatolická Farnost - Perštýn,50.764018,15.060472
Sculpture U Liebigovy Vily,50.767626,15.067527
Sochy pod střechou,50.764689,15.057326
Staré Stavidlo,50.763754,15.06426
Technická univerzita v Liberci - budova P,50.768427,15.063475
Tři Tváře,50.767893,15.05699
Tři Koule,50.765064,15.060692
Fara,50.766404,15.062011
Andilci,50.767351,15.063357
Fontána,50.765773,15.053659
Strom Hrdina / Tree Hero,50.76483,15.054294
Irish Pub - IRSKA,50.768468,15.055135
Dům Kultury,50.765406,15.053906
Krajský Úřad Liberec,50.763286,15.05353
Bílá hlava,50.76859,15.053543
Chicago Bar & Grill,50.764924,15.058253
Technická Inspekce,50.767927,15.051356
Info Board,50.766873,15.055848
Vokno,50.766686,15.053202
Mír Národům Celého Světa,50.77024,15.06105
Cikánský dum,50.76574,15.059644
Naivní divadlo,50.767686,15.057954
Eva,50.769884,15.065021
Liebiegova Vila,50.767657,15.067823
Neptunova kašna,50.769224,15.057966
Galerie,50.767068,15.06148
Obelisk by Liberec Gallery,50.767832,15.06073
Dvanáct měsíců,50.768444,15.062116
Edisonova Lampa,50.769231,15.058808
Erb,50.769972,15.055639
Josefínino Údolí,50.767247,15.068057
Klaster Socha,50.768381,15.067809
Kočky 2010,50.769639,15.059361
Lezecká stěna Šutr 1890,50.766993,15.052697
Liduška,50.769293,15.060568
Heliport in Hospital,50.770056,15.064029
Nemocnice Šmírák,50.769572,15.065757
Tvář Nad Dveřmi,50.770313,15.060338
Palác Centrum,50.765997,15.05307
Česká Inspekce Životního Prostředí,50.76507,15.051271
CSOB Bank,50.765906,15.052697
RP Club,50.770193,15.061893
Výuka Bible,50.767649,15.051312
Vodotrysky,50.769659,15.059771
Zlatý Lev,50.768585,15.061235
Bitva U Liberce,50.771336,15.061499
Černý Kůň,50.77128,15.060976
Domovní Znamení V Klostermannově I.,50.772377,15.066593
Historická Budova - ING,50.772612,15.069083
Katastr vchod,50.77184,15.059794
Liberec Post Office,50.770312,15.059335
Prehrada Vez,50.768614,15.070982
Mapa areálu Technické univerzity v Liberci,50.772605,15.071632
Venkovní posilovna nad přehradou,50.770762,15.072599
Venkovní posilovna u přehrady,50.771629,15.07486
Vzorový Dům Pro Výstavu 1906,50.770177,15.06972
MUDr. Václav Šamánek,50.772657,15.063474
Šaldovo Divadlo,50.770347,15.058682
Hlava TGM u Muzea,50.774581,15.069149
Pizzeria Franko,50.770916,15.068144
Ruským Armádám,50.77178,15.059205
Nemocnice Okraj,50.770813,15.064621
Tržní náměstí,50.773926,15.061435
Graffiti Ruce,50.773353,15.067732
Kapka U Plavečáku,50.773967,15.062275
Průmyslová Škola,50.773128,15.064744
Rumjancevova 25,50.773057,15.061342
Technická univerzita v Liberci - Budova A,50.772827,15.071564
Liberecký veřejný technopark,50.773611,15.06597
Šmoula Graffiti,50.759906,15.044792
iQ LANDIA,50.760912,15.052621
Babylonský Lev,50.760326,15.052501
Dětské hřiště Gagarinova,50.749954,15.037572
Graffiti u nádraží 1,50.761592,15.047485
Zdobená Historie,50.762073,15.053834
Lunapark Babylon,50.759639,15.051768
Budova Minuleho Stoleti,50.766279,15.059789
Likrem,50.761833,15.057275
Informacni system mesta Liberec,50.763376,15.048901
Jinan,50.764545,15.048055
Kolumbárium u krematoria,50.76232,15.056096
Autobusové nádraží Liberec,50.763279,15.047878
Posilovna V Parku,50.761821,15.052916
Sošky na okně,50.764783,15.04969
Tučňáci,50.757925,15.060006
Erbal Ano 1898,50.762471,15.046625
Viadukt Liberec,50.764903,15.043513
Zeus u Dveří,50.764601,15.049116
Zena V Modrem,50.763804,15.047865
Pomníček U Kostela,50.770973,15.053208
4 sochy na balkone,50.767683,15.053635
Zelený poklad s obličeji,50.767508,15.056859
Čtyři fialové sochy,50.770598,15.055417
Statue near Gallery Liberec,50.767334,15.06157
Socha s věncem,50.775007,15.070616
Botanická Zahrada,50.778108,15.073164
Sloni,50.776692,15.079979
